StateName,StateAcronym,CurrentApprovalAmount,CurrentApprovalAmount Billions
Alaska,AK,1154870804,1.15B
Alabama,AL,6254108415,6.25B
Arkansas,AR,4049239636,4.05B
Arizona,AZ,10668375392,10.67B
California,CA,52972847646,52.97B
Colorado,CO,12594006379,12.59B
Connecticut,CT,8867691156,8.87B
Delaware,DE,391532302,0.39B
Florida,FL,25620963543,25.62B
Georgia,GA,17876737141,17.88B
Hawaii,HI,1035546656,1.04B
Iowa,IA,2552454153,2.55B
Idaho,ID,998948374,1.0B
Illinois,IL,14775433508,14.78B
Indiana,IN,12074865529,12.07B
Kansas,KS,6911713729,6.91B
Kentucky,KY,6940188374,6.94B
Louisiana,LA,9986861076,9.99B
Massachusetts,MA,18641869554,18.64B
Maryland,MD,11640180029,11.64B
Maine,ME,3118617758,3.12B
Michigan,MI,21959710654,21.96B
Minnesota,MN,12402704819,12.4B
Missouri,MO,12293772282,12.29B
Mississippi,MS,4805605414,4.81B
Montana,MT,2496345064,2.5B
North Carolina,NC,9717047127,9.72B
North Dakota,ND,1114646676,1.11B
Nebraska,NE,2217201351,2.22B
New Hampshire,NH,1102938860,1.1B
New Jersey,NJ,9420175708,9.42B
New Mexico,NM,3196294962,3.2B
Nevada,NV,5931993772,5.93B
New York,NY,47618657553,47.62B
Ohio,OH,23325339940,23.33B
Oklahoma,OK,7704130744,7.7B
Oregon,OR,9360268060,9.36B
Pennsylvania,PA,26119740735,26.12B
Rhode Island,RI,880733486,0.88B
South Carolina,SC,3107003531,3.11B
South Dakota,SD,1774069753,1.77B
Tennessee,TN,11652758249,11.65B
Texas,TX,40443862866,40.44B
Utah,UT,3132856508,3.13B
Virginia,VA,14577497845,14.58B
Vermont,VT,1719771122,1.72B
Washington,WA,16233563003,16.23B
Wisconsin,WI,12025584693,12.03B
West Virginia,WV,1960622622,1.96B
Wyoming,WY,1570594114,1.57B
